tinh,huyen,xa,diaban,hoso,m6bc3,m6bc6,HH_wealth2_x,HH_wealth2_y,m6ac3,m6ac6,m6ac7,HH_wealth1_x,HH_wealth1_y,m7c15,m7c32,m7c36,m7c39,HH_exp6,m5b3c2_x,m5b3c2_y,HH_exp5,m5b2c2_x,m5b2c3_x,m5b2c2_y,m5b2c3_y,HH_exp4,m5b1c4_x,m5b1c5_x,m5b1c4_y,m5b1c5_y,HH_exp3,m5a2c6_x,m5a2c10_x,m5a2c6_y,m5a2c10_y,HH_exp2,m5a1c2b_x,m5a1c3b_x,m5a1c2b_y,m5a1c3b_y,HH_exp1,matv,hsize,m1ac2,m1ac3,Age,m4ac6,m4ac7,m4ac8,m4ac16,m4ac17,m4ac18,m4ac11,m4ac12f,m4ac21,m4ac22f,m4ac25,indi_income,HH_Income,log_income,total_consumption,total_hours,total_income,num_workers,avg_hours_per_worker,normalized_hours,avg_consumption_per_member
101,1,3.0,1,14,1.0,2500.0,2500.0,107450.0,0.0,0.0,0.0,0.0,0.0,,720.0,3000.0,108.0,3828.0,4000.0,8150.0,8150.0,400.0,0.0,18950.0,0.0,18950.0,360.0,0.0,21586.0,0.0,21586.0,36.5,,36904.7,0.0,36904.7,153.6,,3473.3,1146.0,4619.3,1,3,1,1,64,12.0,26.0,8.0,0.0,0.0,0.0,39528.0,2823,0.0,0,0.0,42351.0,56468.0,10.94142938500409,94038.0,4320.0,56468.0,2.0,2160.0,0.5192307692307693,31346.0
101,1,3.0,1,15,1.0,500.0,500.0,68300.0,0.0,0.0,0.0,0.0,0.0,,1000.0,5000.0,72.0,6072.0,5000.0,7850.0,7850.0,300.0,0.0,16235.0,0.0,16235.0,300.0,0.0,21488.0,0.0,21488.0,208.8,,38741.9,0.0,38741.9,86.4,,2957.7,573.0,3530.7,1,2,1,1,61,12.0,20.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,42351.0,10.653747312552309,93917.6,2496.0,42351.0,1.0,2496.0,0.6,46958.8
101,1,9.0,19,15,1.0,1700.0,1700.0,21800.0,0.0,0.0,0.0,0.0,0.0,,180.0,1440.0,72.0,1692.0,60.0,760.0,760.0,300.0,0.0,7130.0,0.0,7130.0,120.0,0.0,7012.0,0.0,7012.0,715.2,,17770.4,0.0,17770.4,28.8,0.0,1555.2,0.0,1555.2,1,2,1,1,50,12.0,25.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,35919.600000000006,,,,,,
101,1,9.0,19,20,1.0,1500.0,1500.0,29500.0,0.0,0.0,0.0,0.0,0.0,,180.0,1440.0,120.0,1740.0,70.0,640.0,640.0,520.0,0.0,10040.0,0.0,10040.0,55.0,0.0,9280.0,0.0,9280.0,768.0,,22501.7,0.0,22501.7,103.7,,1993.9,0.0,1993.9,1,3,1,1,50,12.0,22.0,8.0,0.0,0.0,0.0,33061.0,918,0.0,0,0.0,33979.0,47203.0,10.762212728875873,46195.600000000006,3952.0,47203.0,2.0,1976.0,0.475,15398.533333333335
101,1,15.0,50,13,1.0,2000.0,2000.0,55150.0,0.0,0.0,0.0,0.0,0.0,,840.0,3600.0,60.0,4500.0,300.0,1800.0,1800.0,1140.0,0.0,17091.0,0.0,17091.0,420.0,0.0,17447.0,0.0,17447.0,259.2,,51339.0,0.0,51339.0,115.2,,5259.8,0.0,5259.8,1,4,1,1,35,12.0,26.0,10.0,0.0,0.0,0.0,79055.0,12800,0.0,0,0.0,91855.0,163382.0,12.00384629622135,97436.8,5232.0,163382.0,2.0,2616.0,0.6288461538461538,24359.2
101,1,15.0,50,14,1.0,2000.0,2000.0,46300.0,0.0,0.0,0.0,0.0,0.0,,840.0,1800.0,60.0,2700.0,2000.0,2200.0,2200.0,490.0,0.0,22031.0,0.0,22031.0,480.0,120.0,17660.0,320.0,17980.0,691.2,,52250.4,0.0,52250.4,288.0,,3567.4,764.0,4331.4,1,3,1,1,27,12.0,22.0,8.0,0.0,0.0,0.0,56468.0,18822,0.0,0,0.0,75290.0,152463.0,11.934677222641074,101492.8,4224.0,152463.0,2.0,2112.0,0.5076923076923077,33830.933333333334
101,1,15.0,50,15,1.0,1500.0,1500.0,50000.0,0.0,0.0,0.0,0.0,0.0,,960.0,4800.0,120.0,5880.0,1000.0,1200.0,1200.0,440.0,0.0,18515.0,0.0,18515.0,1000.0,0.0,23575.0,0.0,23575.0,201.6,,41726.7,0.0,41726.7,345.6,,4885.4,0.0,4885.4,1,4,1,1,54,12.0,22.0,8.0,0.0,0.0,0.0,39528.0,8094,0.0,0,0.0,47622.0,114443.0,11.647832161430726,95782.1,4224.0,114443.0,2.0,2112.0,0.5076923076923077,23945.525
101,1,17.0,2,14,1.0,1000.0,1000.0,15400.0,0.0,0.0,0.0,0.0,0.0,,300.0,1200.0,108.0,1608.0,130.0,213.0,213.0,300.0,0.0,525.0,0.0,525.0,180.0,,2394.0,0.0,2394.0,11.1,,10542.1,0.0,10542.1,32.9,,907.9,0.0,907.9,1,3,1,1,57,9.0,20.0,8.0,0.0,0.0,0.0,33061.0,5051,0.0,0,0.0,38112.0,38112.0,10.548284472155027,16190.0,1440.0,38112.0,1.0,1440.0,0.34615384615384615,5396.666666666667
101,1,23.0,18,29,1.0,1200.0,1200.0,60500.0,0.0,0.0,0.0,0.0,0.0,,540.0,2230.0,145.0,2915.0,800.0,1230.0,1230.0,120.0,0.0,10970.0,0.0,10970.0,1000.0,0.0,7018.0,0.0,7018.0,115.2,,37084.0,0.0,37084.0,86.4,0.0,2797.5,764.0,3561.5,1,3,1,1,32,12.0,30.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,62778.5,,,,,,
101,3,3.0,23,13,1.0,50.0,50.0,15850.0,0.0,0.0,0.0,0.0,0.0,,810.0,2400.0,150.0,3360.0,100.0,2100.0,2100.0,165.0,0.0,4965.0,0.0,4965.0,120.0,0.0,7295.0,0.0,7295.0,92.8,,22053.5,0.0,22053.5,38.4,,2052.4,119.4,2171.8,1,4,1,1,46,12.0,28.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,41945.3,,,,,,
