tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
101,1,3.0,1,13,1,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
101,1,3.0,1,13,2,1,2,2,1,,93.0,17.0,12.0,26.0,8.0,1.0,6.0,,17632.0,918.0,0.0,0.0,0.0,0.0,918,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,3.0,1,13,3,2,2,2,2,5.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3.0
101,1,3.0,1,14,1,1,2,2,1,,24.0,46.0,12.0,26.0,8.0,5.0,6.0,,39528.0,2823.0,0.0,0.0,0.0,0.0,2823,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,3.0,1,14,2,1,2,1,1,,91.0,14.0,6.0,28.0,8.0,0.0,6.0,,14117.0,0.0,0.0,0.0,0.0,0.0,0,1.0,74.0,14.0,12.0,20.0,2.0,10.0,2.0,,,,,,,0,2.0,,,1,3.0
101,1,3.0,1,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
101,1,3.0,1,15,1,2,2,1,1,,22.0,86.0,12.0,20.0,5.0,15.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,3.0
101,1,3.0,1,15,2,1,2,2,1,,22.0,86.0,12.0,26.0,8.0,5.0,6.0,,39528.0,2823.0,0.0,0.0,0.0,0.0,2823,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,9.0,19,15,1,2,2,1,1,,91.0,56.0,12.0,25.0,5.0,15.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,9.0,19,15,2,2,2,1,1,,91.0,56.0,12.0,25.0,5.0,15.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,9.0,19,19,1,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
101,1,9.0,19,19,2,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,9.0,19,19,3,1,2,2,1,,32.0,47.0,12.0,23.0,8.0,1.0,3.0,,22040.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,9.0,19,20,1,1,2,2,1,,41.0,46.0,12.0,22.0,8.0,10.0,6.0,,33061.0,918.0,0.0,0.0,0.0,0.0,918,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,9.0,19,20,2,1,2,2,1,,93.0,96.0,10.0,23.0,8.0,2.0,3.0,,13224.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,9.0,19,20,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
101,1,15.0,50,13,1,1,2,2,1,,24.0,46.0,12.0,26.0,10.0,1.0,6.0,,79055.0,9412.0,0.0,0.0,0.0,3388.0,12800,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,15.0,50,13,2,1,2,2,1,,21.0,61.0,12.0,22.0,8.0,14.0,4.0,1.0,56468.0,9412.0,0.0,0.0,0.0,5647.0,15059,2.0,,,,,,,,,,,,,,0,,,,1,3.0
101,1,15.0,50,13,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15.0,50,13,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15.0,50,14,1,1,2,2,1,,24.0,52.0,12.0,22.0,8.0,2.0,6.0,,56468.0,7529.0,0.0,0.0,0.0,11293.0,18822,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,15.0,50,14,2,1,2,2,1,,24.0,52.0,12.0,22.0,8.0,5.0,4.0,2.0,56468.0,8470.0,0.0,0.0,0.0,12235.0,20705,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,15.0,50,15,1,1,2,2,1,,21.0,74.0,12.0,22.0,8.0,26.0,4.0,1.0,39528.0,4706.0,0.0,0.0,0.0,3388.0,8094,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,15.0,50,15,2,1,2,2,1,,24.0,64.0,12.0,22.0,8.0,18.0,4.0,1.0,56468.0,4706.0,0.0,0.0,0.0,5647.0,10353,2.0,,,,,,,,,,,,,,0,,,,1,3.0
101,1,15.0,50,15,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15.0,50,15,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,17.0,2,13,1,2,2,1,1,,91.0,56.0,12.0,30.0,14.0,20.0,1.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,4.0
101,1,17.0,2,13,2,1,2,2,1,,91.0,93.0,12.0,30.0,10.0,1.0,3.0,,8374.0,1047.0,0.0,0.0,0.0,0.0,1047,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,17.0,2,14,1,1,2,2,1,,33.0,85.0,9.0,20.0,8.0,33.0,4.0,1.0,33061.0,2755.0,1837.0,0.0,0.0,459.0,5051,2.0,,,,,,,,,,,,,,0,,,,1,3.0
101,1,17.0,2,14,2,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,8.0
101,1,17.0,2,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4.0
101,1,17.0,2,19,1,2,2,1,1,,91.0,56.0,12.0,28.0,5.0,10.0,1.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,6.0
101,1,17.0,2,19,2,1,2,2,1,,74.0,56.0,12.0,30.0,10.0,8.0,3.0,,28234.0,941.0,0.0,0.0,0.0,470.0,1411,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,21.0,36,13,1,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3.0
101,1,21.0,36,13,2,2,2,2,2,7.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
101,1,21.0,36,15,1,1,2,2,1,,91.0,47.0,10.0,29.0,9.0,1.0,3.0,,12213.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,21.0,36,15,2,1,2,2,1,,24.0,86.0,12.0,30.0,10.0,20.0,3.0,,13608.0,1745.0,0.0,0.0,0.0,0.0,1745,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,21.0,36,15,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
101,1,21.0,36,19,1,2,2,1,1,,91.0,63.0,9.0,30.0,10.0,5.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,21.0,36,19,2,2,2,1,1,,23.0,85.0,12.0,22.0,5.0,20.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,21.0,36,19,3,2,2,1,1,,91.0,47.0,4.0,28.0,10.0,7.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
101,1,21.0,36,19,4,1,2,2,1,,34.0,60.0,12.0,26.0,8.0,2.0,4.0,2.0,22040.0,1837.0,0.0,0.0,0.0,2755.0,4592,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,21.0,36,19,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
101,1,23.0,18,13,1,1,2,2,1,,24.0,46.0,12.0,22.0,8.0,30.0,4.0,1.0,79055.0,6587.0,0.0,0.0,0.0,0.0,6587,2.0,,,,,,,,,,,,,,0,,,,1,2.0
101,1,23.0,18,13,2,1,2,2,1,,24.0,46.0,12.0,22.0,8.0,30.0,4.0,1.0,56468.0,5647.0,0.0,0.0,0.0,0.0,5647,2.0,,,,,,,,,,,,,,0,,,,1,1.0
101,1,23.0,18,24,1,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
