tinh,huyen,xa,diaban,hoso,m5b2c1,m5b2c1a,m5b2c2,m5b2c3
101,1,3.0,1,13,310.0,,90.0,0.0
101,1,3.0,1,13,302.0,,2650.0,0.0
101,1,3.0,1,13,318.0,,200.0,0.0
101,1,3.0,1,13,308.0,,810.0,0.0
101,1,3.0,1,13,311.0,,500.0,0.0
101,1,3.0,1,13,309.0,,250.0,0.0
101,1,3.0,1,13,317.0,,440.0,0.0
101,1,3.0,1,13,321.0,,100.0,0.0
101,1,3.0,1,13,304.0,,100.0,0.0
101,1,3.0,1,13,307.0,,400.0,0.0
101,1,3.0,1,13,319.0,,200.0,0.0
101,1,3.0,1,13,301.0,,400.0,0.0
101,1,3.0,1,13,314.0,,150.0,0.0
101,1,3.0,1,13,325.0,,720.0,0.0
101,1,3.0,1,13,306.0,,140.0,0.0
101,1,3.0,1,13,320.0,,200.0,0.0
101,1,3.0,1,14,320.0,,400.0,0.0
101,1,3.0,1,14,309.0,,500.0,0.0
101,1,3.0,1,14,326.0,,1800.0,0.0
101,1,3.0,1,14,308.0,,2500.0,0.0
101,1,3.0,1,14,323.0,,800.0,0.0
101,1,3.0,1,14,314.0,,300.0,0.0
101,1,3.0,1,14,303.0,,120.0,0.0
101,1,3.0,1,14,331.0,,300.0,0.0
101,1,3.0,1,14,322.0,,300.0,0.0
101,1,3.0,1,14,319.0,,350.0,0.0
101,1,3.0,1,14,312.0,,450.0,0.0
101,1,3.0,1,14,302.0,,4600.0,0.0
101,1,3.0,1,14,305.0,,450.0,0.0
101,1,3.0,1,14,307.0,,200.0,0.0
101,1,3.0,1,14,317.0,,300.0,0.0
101,1,3.0,1,14,313.0,,100.0,0.0
101,1,3.0,1,14,330.0,,250.0,0.0
101,1,3.0,1,14,310.0,,100.0,0.0
101,1,3.0,1,14,301.0,,1200.0,0.0
101,1,3.0,1,14,321.0,,200.0,0.0
101,1,3.0,1,14,315.0,,30.0,0.0
101,1,3.0,1,14,311.0,,350.0,0.0
101,1,3.0,1,14,325.0,,3200.0,0.0
101,1,3.0,1,14,304.0,,100.0,0.0
101,1,3.0,1,14,306.0,,50.0,0.0
101,1,3.0,1,15,314.0,,300.0,0.0
101,1,3.0,1,15,308.0,,2000.0,0.0
101,1,3.0,1,15,321.0,,350.0,0.0
101,1,3.0,1,15,307.0,,1500.0,0.0
101,1,3.0,1,15,305.0,,450.0,0.0
101,1,3.0,1,15,309.0,,400.0,0.0
101,1,3.0,1,15,310.0,,100.0,0.0
101,1,3.0,1,15,301.0,,500.0,0.0
101,1,3.0,1,15,331.0,,300.0,0.0
101,1,3.0,1,15,320.0,,200.0,0.0
101,1,3.0,1,15,325.0,,4630.0,0.0
101,1,3.0,1,15,304.0,,100.0,0.0
101,1,3.0,1,15,306.0,,50.0,0.0
101,1,3.0,1,15,330.0,,250.0,0.0
101,1,3.0,1,15,313.0,,75.0,0.0
101,1,3.0,1,15,311.0,,250.0,0.0
101,1,3.0,1,15,322.0,,300.0,0.0
101,1,3.0,1,15,312.0,,450.0,0.0
101,1,3.0,1,15,315.0,,30.0,0.0
101,1,3.0,1,15,317.0,,300.0,0.0
101,1,3.0,1,15,324.0,,300.0,0.0
101,1,3.0,1,15,302.0,,3000.0,0.0
101,1,3.0,1,15,319.0,,400.0,0.0
101,1,9.0,19,15,308.0,,300.0,0.0
101,1,9.0,19,15,301.0,,250.0,0.0
101,1,9.0,19,15,320.0,,370.0,0.0
101,1,9.0,19,15,309.0,,200.0,0.0
101,1,9.0,19,15,399.0,,2040.0,0.0
101,1,9.0,19,15,307.0,,250.0,0.0
101,1,9.0,19,15,311.0,,200.0,0.0
101,1,9.0,19,15,312.0,,100.0,0.0
101,1,9.0,19,15,304.0,,50.0,0.0
101,1,9.0,19,15,325.0,,2040.0,0.0
101,1,9.0,19,15,314.0,,50.0,0.0
101,1,9.0,19,15,319.0,,150.0,0.0
101,1,9.0,19,15,302.0,,1100.0,0.0
101,1,9.0,19,15,306.0,,30.0,0.0
101,1,9.0,19,19,310.0,,50.0,0.0
101,1,9.0,19,19,309.0,,250.0,0.0
101,1,9.0,19,19,399.0,,2440.0,0.0
101,1,9.0,19,19,307.0,,300.0,0.0
101,1,9.0,19,19,301.0,,300.0,0.0
101,1,9.0,19,19,308.0,,350.0,0.0
101,1,9.0,19,19,314.0,,70.0,0.0
101,1,9.0,19,19,319.0,,120.0,0.0
101,1,9.0,19,19,312.0,,120.0,0.0
101,1,9.0,19,19,302.0,,1100.0,0.0
101,1,9.0,19,19,320.0,,370.0,0.0
101,1,9.0,19,19,311.0,,100.0,0.0
101,1,9.0,19,19,317.0,,50.0,0.0
101,1,9.0,19,19,325.0,,2440.0,0.0
101,1,9.0,19,20,320.0,,520.0,0.0
101,1,9.0,19,20,312.0,,100.0,0.0
101,1,9.0,19,20,317.0,,50.0,0.0
101,1,9.0,19,20,307.0,,270.0,0.0
101,1,9.0,19,20,325.0,,2550.0,0.0
101,1,9.0,19,20,302.0,,1700.0,0.0
101,1,9.0,19,20,399.0,,2550.0,0.0
101,1,9.0,19,20,319.0,,350.0,0.0
101,1,9.0,19,20,304.0,,50.0,0.0
101,1,9.0,19,20,301.0,,500.0,0.0
101,1,9.0,19,20,311.0,,100.0,0.0
101,1,9.0,19,20,309.0,,600.0,0.0
101,1,9.0,19,20,308.0,,700.0,0.0
101,1,15.0,50,13,317.0,,1140.0,0.0
101,1,15.0,50,13,330.0,,220.0,0.0
101,1,15.0,50,13,331.0,,540.0,0.0
101,1,15.0,50,13,321.0,,180.0,0.0
101,1,15.0,50,13,302.0,,5410.0,0.0
101,1,15.0,50,13,326.0,,1920.0,0.0
101,1,15.0,50,13,319.0,,930.0,0.0
101,1,15.0,50,13,301.0,,160.0,0.0
101,1,15.0,50,13,306.0,,640.0,0.0
101,1,15.0,50,13,323.0,,250.0,0.0
101,1,15.0,50,13,312.0,,50.0,0.0
101,1,15.0,50,13,314.0,,250.0,0.0
101,1,15.0,50,13,304.0,,200.0,0.0
101,1,15.0,50,13,307.0,,480.0,0.0
101,1,15.0,50,13,333.0,,2160.0,0.0
101,1,15.0,50,13,320.0,,720.0,0.0
101,1,15.0,50,13,399.0,,560.0,0.0
101,1,15.0,50,13,308.0,,1000.0,0.0
101,1,15.0,50,13,310.0,,36.0,0.0
101,1,15.0,50,13,311.0,,245.0,0.0
101,1,15.0,50,14,320.0,,490.0,0.0
101,1,15.0,50,14,312.0,,60.0,0.0
101,1,15.0,50,14,326.0,,1200.0,0.0
101,1,15.0,50,14,333.0,,800.0,0.0
101,1,15.0,50,14,325.0,,900.0,0.0
101,1,15.0,50,14,321.0,,600.0,0.0
101,1,15.0,50,14,310.0,,40.0,0.0
101,1,15.0,50,14,306.0,,760.0,0.0
101,1,15.0,50,14,332.0,,7200.0,0.0
