tinh,huyen,xa,diaban,hoso,m5b3c1,m5b3c1a,m5b3c2
101,1,3.0,1,13,401.0,,70.0
101,1,3.0,1,13,406.0,,500.0
101,1,3.0,1,13,407.0,,2000.0
101,1,3.0,1,14,407.0,,4000.0
101,1,3.0,1,14,401.0,,70.0
101,1,3.0,1,14,405.0,,1500.0
101,1,3.0,1,14,406.0,,2500.0
101,1,3.0,1,14,400.0,,80.0
101,1,3.0,1,15,407.0,,5000.0
101,1,3.0,1,15,400.0,,200.0
101,1,3.0,1,15,401.0,,150.0
101,1,3.0,1,15,406.0,,2500.0
101,1,9.0,19,15,403.0,,60.0
101,1,9.0,19,15,401.0,,100.0
101,1,9.0,19,15,407.0,,600.0
101,1,9.0,19,19,401.0,,70.0
101,1,9.0,19,19,407.0,,600.0
101,1,9.0,19,19,403.0,,100.0
101,1,9.0,19,20,403.0,,70.0
101,1,9.0,19,20,401.0,,70.0
101,1,9.0,19,20,407.0,,500.0
101,1,15.0,50,13,401.0,,300.0
101,1,15.0,50,13,407.0,,1500.0
101,1,15.0,50,14,407.0,,2000.0
101,1,15.0,50,14,401.0,,200.0
101,1,15.0,50,15,407.0,,1000.0
101,1,15.0,50,15,401.0,,200.0
101,1,17.0,2,13,401.0,,35.0
101,1,17.0,2,13,403.0,,51.0
101,1,17.0,2,14,407.0,,130.0
101,1,17.0,2,14,403.0,,63.0
101,1,17.0,2,14,401.0,,20.0
101,1,17.0,2,19,401.0,,20.0
101,1,17.0,2,19,403.0,,96.0
101,1,21.0,36,13,400.0,,20.0
101,1,21.0,36,13,401.0,,50.0
101,1,21.0,36,13,407.0,,1700.0
101,1,21.0,36,13,403.0,,33.0
101,1,21.0,36,15,400.0,,50.0
101,1,21.0,36,15,407.0,,1500.0
101,1,21.0,36,15,401.0,,40.0
101,1,21.0,36,15,403.0,,25.0
101,1,21.0,36,19,400.0,,60.0
101,1,21.0,36,19,406.0,,5500.0
101,1,21.0,36,19,403.0,,120.0
101,1,21.0,36,19,407.0,,9000.0
101,1,21.0,36,19,401.0,,100.0
101,1,23.0,18,13,403.0,,410.0
101,1,23.0,18,13,401.0,,70.0
