tinh,huyen,xa,diaban,hoso,m6ama,m6ama1,m6ac3,m6ac4a,m6ac4b,m6ac5,m6ac6,m6ac7
101,1,3.0,1,13,,,,,,,,
101,1,3.0,1,14,,,,,,,,
101,1,3.0,1,15,,,,,,,,
101,1,9.0,19,15,,,,,,,,
101,1,9.0,19,19,,,,,,,,
101,1,9.0,19,20,,,,,,,,
101,1,15.0,50,13,,,,,,,,
101,1,15.0,50,14,,,,,,,,
101,1,15.0,50,15,,,,,,,,
101,1,17.0,2,13,,,,,,,,
101,1,17.0,2,14,,,,,,,,
101,1,17.0,2,19,,,,,,,,
101,1,21.0,36,13,,,,,,,,
101,1,21.0,36,15,,,,,,,,
101,1,21.0,36,19,,,,,,,,
101,1,23.0,18,13,,,,,,,,
101,1,23.0,18,24,,,,,,,,
101,1,23.0,18,29,,,,,,,,
101,3,3.0,23,13,,,,,,,,
101,3,3.0,23,15,,,,,,,,
101,3,3.0,23,19,,,,,,,,
101,3,11.0,9,15,,,,,,,,
101,3,11.0,9,19,,,,,,,,
101,3,11.0,9,20,,,,,,,,
101,3,13.0,8,13,,,,,,,,
101,3,13.0,8,14,,,,,,,,
101,3,13.0,8,15,,,,,,,,
101,5,3.0,17,13,56.0,,1.0,0.0,2003.0,600.0,200.0,100.0
101,5,3.0,17,13,20.0,,1.0,0.0,2002.0,18000.0,8000.0,100.0
101,5,3.0,17,14,,,,,,,,
101,5,3.0,17,20,,,,,,,,
101,5,11.0,7,13,,,,,,,,
101,5,11.0,7,14,46.0,,10.0,0.0,2000.0,95000.0,54000.0,100.0
101,5,11.0,7,15,,,,,,,,
101,5,17.0,18,13,20.0,,1.0,0.0,1999.0,15000.0,7000.0,100.0
101,5,17.0,18,14,35.0,,1.0,0.0,1999.0,1200.0,300.0,100.0
101,5,17.0,18,14,35.0,,1.0,0.0,1990.0,1000.0,200.0,100.0
101,5,17.0,18,19,26.0,,1.0,0.0,2001.0,4000.0,200.0,100.0
101,5,17.0,18,19,27.0,,1.0,0.0,2000.0,10000.0,5000.0,100.0
101,5,25.0,12,13,20.0,,1.0,0.0,2002.0,17000.0,10000.0,100.0
101,5,25.0,12,14,,,,,,,,
101,5,25.0,12,15,,,,,,,,
101,5,33.0,12,14,,,,,,,,
101,5,33.0,12,15,,,,,,,,
101,5,33.0,12,24,,,,,,,,
101,5,35.0,16,14,14.0,,1.0,0.0,1990.0,50000.0,160000.0,100.0
101,5,35.0,16,14,51.0,,1.0,0.0,1999.0,300.0,100.0,100.0
101,5,35.0,16,14,35.0,,2.0,0.0,1994.0,4200.0,1260.0,100.0
101,5,35.0,16,14,58.0,,1.0,0.0,1994.0,800.0,200.0,100.0
