tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,1,3.0,1,13,1,60.0,2.0,1957.0,,1.0,2.0,,,,,2400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,840.0,1,1,1,3720.0,1,1,108.0,,4668,2,,,
101,1,3.0,1,14,1,60.0,2.0,1943.0,,2.0,2.0,,,,,2220000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,720.0,1,1,1,3000.0,1,1,108.0,,3828,1,1.0,12.0,4000.0
101,1,3.0,1,15,1,36.0,2.0,1970.0,,1.0,2.0,,,,,1332000.0,2.0,,,,,,1.0,-1.0,1970.0,,2.0,,,17000.0,,,0.0,,,,,1,,,1,1,,1,1000.0,1,1,1,5000.0,1,1,72.0,,23072,2,,,
101,1,9.0,19,15,1,48.0,2.0,2002.0,2.0,1.0,2.0,,,,,970000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,180.0,1,1,1,1440.0,1,1,72.0,,1692,2,,,
101,1,9.0,19,19,1,120.0,2.0,2000.0,,1.0,2.0,,,,,1500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,180.0,1,1,1,1680.0,1,1,108.0,,1968,1,2.0,,
101,1,9.0,19,20,1,50.0,2.0,1990.0,,1.0,2.0,,,,,750000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,2,1,,1,180.0,1,1,1,1440.0,1,1,120.0,,1740,2,,,
101,1,15.0,50,13,1,55.0,2.0,2006.0,2.0,3.0,1.0,3.0,12000.0,12.0,12.0,1000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,840.0,1,1,1,3600.0,1,1,60.0,,16500,1,1.0,12.0,1800.0
101,1,15.0,50,14,1,30.0,2.0,2002.0,2.0,1.0,2.0,,,,,850000.0,2.0,,,,,,1.0,6.0,2002.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,840.0,1,1,1,1800.0,1,1,60.0,,2700,1,1.0,12.0,1300.0
101,1,15.0,50,15,1,50.0,2.0,1998.0,,1.0,2.0,,,,,1200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,2,1,,1,960.0,1,1,1,4800.0,1,1,120.0,,5880,1,1.0,12.0,1800.0
101,1,17.0,2,13,1,70.0,2.0,1983.0,,1.0,2.0,,,,,150000.0,2.0,,,,,,2.0,,,,2.0,,,10000.0,,,2000.0,,,,,1,,,1,1,,1,350.0,1,1,1,540.0,1,1,82.0,,12972,2,,,
101,1,17.0,2,14,1,60.0,2.0,1994.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,300.0,1,1,1,1200.0,1,1,108.0,,1608,1,2.0,,
101,1,17.0,2,19,1,60.0,4.0,1999.0,,1.0,2.0,,,,,700000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,480.0,1,1,1,2000.0,1,1,72.0,,2552,2,,,
101,1,21.0,36,13,1,22.0,2.0,1973.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,7000.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,1440.0,1,1,108.0,,9148,2,,,
101,1,21.0,36,15,1,15.0,2.0,1983.0,,1.0,2.0,,,,,525000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,360.0,1,1,1,1440.0,1,1,96.0,,1896,2,,,
101,1,21.0,36,19,1,200.0,2.0,1989.0,,1.0,2.0,,,,,7000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,1440.0,1,1,144.0,,2184,1,1.0,12.0,3000.0
101,1,23.0,18,13,1,30.0,2.0,1989.0,,1.0,2.0,,,,,450000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,370.0,1,1,1,2040.0,1,1,96.0,,2506,1,2.0,,
101,1,23.0,18,24,1,30.0,2.0,1986.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,400.0,,,,,1,,,1,1,,1,720.0,1,1,1,2250.0,1,1,145.0,,3515,1,2.0,,
101,1,23.0,18,29,1,35.0,2.0,2002.0,2.0,1.0,2.0,,,,,520000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,300.0,,,,,1,,,1,1,,1,540.0,1,1,1,2230.0,1,1,145.0,,3215,2,,,
